Grapheme	Frequency	Codepoint	UnicodeName
tS~	1	U+0074, U+0053, U+007E	LATIN SMALL LETTER T, LATIN CAPITAL LETTER S, TILDE
tsh$	1	U+0074, U+0073, U+0068, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER S, LATIN SMALL LETTER H, DOLLAR SIGN
tt~	1	U+0074, U+0074, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER T, TILDE
tT~	2	U+0074, U+0054, U+007E	LATIN SMALL LETTER T, LATIN CAPITAL LETTER T, TILDE
tth$	1	U+0074, U+0074, U+0068, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER T, LATIN SMALL LETTER H, DOLLAR SIGN
tv~	5	U+0074, U+0076, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER V, TILDE
Tv~	2	U+0054, U+0076, U+007E	LATIN CAPITAL LETTER T, LATIN SMALL LETTER V, TILDE
tw~	188	U+0074, U+0077, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER W, TILDE
Tw~	17	U+0054, U+0077, U+007E	LATIN CAPITAL LETTER T, LATIN SMALL LETTER W, TILDE
tx~	22	U+0074, U+0078, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER X, TILDE
tX~	20	U+0074, U+0058, U+007E	LATIN SMALL LETTER T, LATIN CAPITAL LETTER X, TILDE
TX~	1	U+0054, U+0058, U+007E	LATIN CAPITAL LETTER T, LATIN CAPITAL LETTER X, TILDE
ty~	665	U+0074, U+0079, U+007E	LATIN SMALL LETTER T, LATIN SMALL LETTER Y, TILDE
Ty~	11	U+0054, U+0079, U+007E	LATIN CAPITAL LETTER T, LATIN SMALL LETTER Y, TILDE
ty7$	1	U+0074, U+0079, U+0037, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER Y, DIGIT SEVEN, DOLLAR SIGN
tyh$	3	U+0074, U+0079, U+0068, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER Y, LATIN SMALL LETTER H, DOLLAR SIGN
tyw$	1	U+0074, U+0079, U+0077, U+0024	LATIN SMALL LETTER T, LATIN SMALL LETTER Y, LATIN SMALL LETTER W, DOLLAR SIGN
Tyw$	1	U+0054, U+0079, U+0077, U+0024	LATIN CAPITAL LETTER T, LATIN SMALL LETTER Y, LATIN SMALL LETTER W, DOLLAR SIGN
u	80598	U+0075	LATIN SMALL LETTER U
u*	1525	U+0075, U+002A	LATIN SMALL LETTER U, ASTERISK
u*7~	1	U+0075, U+002A, U+0037, U+007E	LATIN SMALL LETTER U, ASTERISK, DIGIT SEVEN, TILDE
u7~	1	U+0075, U+0037, U+007E	LATIN SMALL LETTER U, DIGIT SEVEN, TILDE
uh~	2	U+0075, U+0068, U+007E	LATIN SMALL LETTER U, LATIN SMALL LETTER H, TILDE
un~	1	U+0075, U+006E, U+007E	LATIN SMALL LETTER U, LATIN SMALL LETTER N, TILDE
uw~	1	U+0075, U+0077, U+007E	LATIN SMALL LETTER U, LATIN SMALL LETTER W, TILDE
ux~	1	U+0075, U+0078, U+007E	LATIN SMALL LETTER U, LATIN SMALL LETTER X, TILDE
v	5341	U+0076	LATIN SMALL LETTER V
v7~	1	U+0076, U+0037, U+007E	LATIN SMALL LETTER V, DIGIT SEVEN, TILDE
vh~	8	U+0076, U+0068, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER H, TILDE
vhw$	1	U+0076, U+0068, U+0077, U+0024	LATIN SMALL LETTER V, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
vl~	1	U+0076, U+006C, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER L, TILDE
vn~	1	U+0076, U+006E, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER N, TILDE
vr~	1	U+0076, U+0072, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER R, TILDE
vrd$	5	U+0076, U+0072, U+0064, U+0024	LATIN SMALL LETTER V, LATIN SMALL LETTER R, LATIN SMALL LETTER D, DOLLAR SIGN
vw~	51	U+0076, U+0077, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER W, TILDE
vx~	1	U+0076, U+0078, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER X, TILDE
vy~	35	U+0076, U+0079, U+007E	LATIN SMALL LETTER V, LATIN SMALL LETTER Y, TILDE
w	21712	U+0077	LATIN SMALL LETTER W
w"	124	U+0077, U+0022	LATIN SMALL LETTER W, QUOTATION MARK
w"v~	1	U+0077, U+0022, U+0076, U+007E	LATIN SMALL LETTER W, QUOTATION MARK, LATIN SMALL LETTER V, TILDE
w*	26	U+0077, U+002A	LATIN SMALL LETTER W, ASTERISK
w7~	12	U+0077, U+0037, U+007E	LATIN SMALL LETTER W, DIGIT SEVEN, TILDE
w7r$	1	U+0077, U+0037, U+0072, U+0024	LATIN SMALL LETTER W, DIGIT SEVEN, LATIN SMALL LETTER R, DOLLAR SIGN
w7t$	1	U+0077, U+0037, U+0074, U+0024	LATIN SMALL LETTER W, DIGIT SEVEN, LATIN SMALL LETTER T, DOLLAR SIGN
wd~	2	U+0077, U+0064, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER D, TILDE
wh~	22	U+0077, U+0068, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER H, TILDE
whn$	1	U+0077, U+0068, U+006E, U+0024	LATIN SMALL LETTER W, LATIN SMALL LETTER H, LATIN SMALL LETTER N, DOLLAR SIGN
wj~	2	U+0077, U+006A, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER J, TILDE
wk~	2	U+0077, U+006B, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER K, TILDE
wl~	1	U+0077, U+006C, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER L, TILDE
wm~	1	U+0077, U+006D, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER M, TILDE
wn~	4	U+0077, U+006E, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER N, TILDE
wr~	5	U+0077, U+0072, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER R, TILDE
wrh$	1	U+0077, U+0072, U+0068, U+0024	LATIN SMALL LETTER W, LATIN SMALL LETTER R, LATIN SMALL LETTER H, DOLLAR SIGN
wsk$	2	U+0077, U+0073, U+006B, U+0024	LATIN SMALL LETTER W, LATIN SMALL LETTER S, LATIN SMALL LETTER K, DOLLAR SIGN
wt7$	1	U+0077, U+0074, U+0037, U+0024	LATIN SMALL LETTER W, LATIN SMALL LETTER T, DIGIT SEVEN, DOLLAR SIGN
wv~	1	U+0077, U+0076, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER V, TILDE
ww~	3	U+0077, U+0077, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER W, TILDE
wx~	1	U+0077, U+0078, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER X, TILDE
wX~	3	U+0077, U+0058, U+007E	LATIN SMALL LETTER W, LATIN CAPITAL LETTER X, TILDE
wy~	8	U+0077, U+0079, U+007E	LATIN SMALL LETTER W, LATIN SMALL LETTER Y, TILDE
x	6849	U+0078	LATIN SMALL LETTER X
X	2291	U+0058	LATIN CAPITAL LETTER X
x"	9	U+0078, U+0022	LATIN SMALL LETTER X, QUOTATION MARK
X"	5	U+0058, U+0022	LATIN CAPITAL LETTER X, QUOTATION MARK
x"w~	1	U+0078, U+0022, U+0077, U+007E	LATIN SMALL LETTER X, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
X"w~	1	U+0058, U+0022, U+0077, U+007E	LATIN CAPITAL LETTER X, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
x7~	4	U+0078, U+0037, U+007E	LATIN SMALL LETTER X, DIGIT SEVEN, TILDE
xc~	1	U+0078, U+0063, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER C, TILDE
xh~	18	U+0078, U+0068, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER H, TILDE
xk~	2	U+0078, U+006B, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER K, TILDE
Xk~	1	U+0058, U+006B, U+007E	LATIN CAPITAL LETTER X, LATIN SMALL LETTER K, TILDE
Xm~	1	U+0058, U+006D, U+007E	LATIN CAPITAL LETTER X, LATIN SMALL LETTER M, TILDE
xn~	1	U+0078, U+006E, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER N, TILDE
xq~	1	U+0078, U+0071, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER Q, TILDE
xr~	1	U+0078, U+0072, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER R, TILDE
xS~	1	U+0078, U+0053, U+007E	LATIN SMALL LETTER X, LATIN CAPITAL LETTER S, TILDE
Xs~	3	U+0058, U+0073, U+007E	LATIN CAPITAL LETTER X, LATIN SMALL LETTER S, TILDE
Xsd$	1	U+0058, U+0073, U+0064, U+0024	LATIN CAPITAL LETTER X, LATIN SMALL LETTER S, LATIN SMALL LETTER D, DOLLAR SIGN
Xt~	1	U+0058, U+0074, U+007E	LATIN CAPITAL LETTER X, LATIN SMALL LETTER T, TILDE
xv~	2	U+0078, U+0076, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER V, TILDE
xw"~	1	U+0078, U+0077, U+0022, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER W, QUOTATION MARK, TILDE
xw~	445	U+0078, U+0077, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER W, TILDE
Xw~	114	U+0058, U+0077, U+007E	LATIN CAPITAL LETTER X, LATIN SMALL LETTER W, TILDE
xwn$	1	U+0078, U+0077, U+006E, U+0024	LATIN SMALL LETTER X, LATIN SMALL LETTER W, LATIN SMALL LETTER N, DOLLAR SIGN
XwX$	3	U+0058, U+0077, U+0058, U+0024	LATIN CAPITAL LETTER X, LATIN SMALL LETTER W, LATIN CAPITAL LETTER X, DOLLAR SIGN
XX~	11	U+0058, U+0058, U+007E	LATIN CAPITAL LETTER X, LATIN CAPITAL LETTER X, TILDE
XXw$	1	U+0058, U+0058, U+0077, U+0024	LATIN CAPITAL LETTER X, LATIN CAPITAL LETTER X, LATIN SMALL LETTER W, DOLLAR SIGN
xy~	50	U+0078, U+0079, U+007E	LATIN SMALL LETTER X, LATIN SMALL LETTER Y, TILDE
Xy~	6	U+0058, U+0079, U+007E	LATIN CAPITAL LETTER X, LATIN SMALL LETTER Y, TILDE
y	22136	U+0079	LATIN SMALL LETTER Y
y"	91	U+0079, U+0022	LATIN SMALL LETTER Y, QUOTATION MARK
y*	20	U+0079, U+002A	LATIN SMALL LETTER Y, ASTERISK
y7~	36	U+0079, U+0037, U+007E	LATIN SMALL LETTER Y, DIGIT SEVEN, TILDE
y7t$	1	U+0079, U+0037, U+0074, U+0024	LATIN SMALL LETTER Y, DIGIT SEVEN, LATIN SMALL LETTER T, DOLLAR SIGN
yh~	18	U+0079, U+0068, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER H, TILDE
yk~	1	U+0079, U+006B, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER K, TILDE
yn~	1	U+0079, U+006E, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER N, TILDE
yt~	1	U+0079, U+0074, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER T, TILDE
yw~	28	U+0079, U+0077, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER W, TILDE
yy~	1	U+0079, U+0079, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER Y, TILDE
yz~	1	U+0079, U+007A, U+007E	LATIN SMALL LETTER Y, LATIN SMALL LETTER Z, TILDE
z	4448	U+007A	LATIN SMALL LETTER Z
Z	1213	U+005A	LATIN CAPITAL LETTER Z
z"	4	U+007A, U+0022	LATIN SMALL LETTER Z, QUOTATION MARK
Z7~	2	U+005A, U+0037, U+007E	LATIN CAPITAL LETTER Z, DIGIT SEVEN, TILDE
zh~	10	U+007A, U+0068, U+007E	LATIN SMALL LETTER Z, LATIN SMALL LETTER H, TILDE
Zh~	9	U+005A, U+0068, U+007E	LATIN CAPITAL LETTER Z, LATIN SMALL LETTER H, TILDE
zn~	2	U+007A, U+006E, U+007E	LATIN SMALL LETTER Z, LATIN SMALL LETTER N, TILDE
zr~	2	U+007A, U+0072, U+007E	LATIN SMALL LETTER Z, LATIN SMALL LETTER R, TILDE
Zv~	1	U+005A, U+0076, U+007E	LATIN CAPITAL LETTER Z, LATIN SMALL LETTER V, TILDE
zw~	17	U+007A, U+0077, U+007E	LATIN SMALL LETTER Z, LATIN SMALL LETTER W, TILDE
Zw~	10	U+005A, U+0077, U+007E	LATIN CAPITAL LETTER Z, LATIN SMALL LETTER W, TILDE
zwy$	1	U+007A, U+0077, U+0079, U+0024	LATIN SMALL LETTER Z, LATIN SMALL LETTER W, LATIN SMALL LETTER Y, DOLLAR SIGN
zX~	3	U+007A, U+0058, U+007E	LATIN SMALL LETTER Z, LATIN CAPITAL LETTER X, TILDE
ZX~	3	U+005A, U+0058, U+007E	LATIN CAPITAL LETTER Z, LATIN CAPITAL LETTER X, TILDE
zy~	30	U+007A, U+0079, U+007E	LATIN SMALL LETTER Z, LATIN SMALL LETTER Y, TILDE
Zy~	7	U+005A, U+0079, U+007E	LATIN CAPITAL LETTER Z, LATIN SMALL LETTER Y, TILDE
Zyw$	1	U+005A, U+0079, U+0077, U+0024	LATIN CAPITAL LETTER Z, LATIN SMALL LETTER Y, LATIN SMALL LETTER W, DOLLAR SIGN
zz~	1	U+007A, U+007A, U+007E	LATIN SMALL LETTER Z, LATIN SMALL LETTER Z, TILDE
ZZ~	3	U+005A, U+005A, U+007E	LATIN CAPITAL LETTER Z, LATIN CAPITAL LETTER Z, TILDE
