Grapheme	Frequency	Codepoint	UnicodeName
Chy$	1	U+0043, U+0068, U+0079, U+0024	LATIN CAPITAL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER Y, DOLLAR SIGN
chz$	9	U+0063, U+0068, U+007A, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER Z, DOLLAR SIGN
cih$	1	U+0063, U+0069, U+0068, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER I, LATIN SMALL LETTER H, DOLLAR SIGN
cny$	1	U+0063, U+006E, U+0079, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER N, LATIN SMALL LETTER Y, DOLLAR SIGN
Cny$	1	U+0043, U+006E, U+0079, U+0024	LATIN CAPITAL LETTER C, LATIN SMALL LETTER N, LATIN SMALL LETTER Y, DOLLAR SIGN
Cr~	3	U+0043, U+0072, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER R, TILDE
CS~	2	U+0043, U+0053, U+007E	LATIN CAPITAL LETTER C, LATIN CAPITAL LETTER S, TILDE
cv~	2	U+0063, U+0076, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER V, TILDE
Cv~	4	U+0043, U+0076, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER V, TILDE
Cw"y$	1	U+0043, U+0077, U+0022, U+0079, U+0024	LATIN CAPITAL LETTER C, LATIN SMALL LETTER W, QUOTATION MARK, LATIN SMALL LETTER Y, DOLLAR SIGN
cw~	25	U+0063, U+0077, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER W, TILDE
Cw~	59	U+0043, U+0077, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER W, TILDE
cx~	12	U+0063, U+0078, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER X, TILDE
cX~	1	U+0063, U+0058, U+007E	LATIN SMALL LETTER C, LATIN CAPITAL LETTER X, TILDE
Cx~	8	U+0043, U+0078, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER X, TILDE
CX~	1	U+0043, U+0058, U+007E	LATIN CAPITAL LETTER C, LATIN CAPITAL LETTER X, TILDE
cxv$	1	U+0063, U+0078, U+0076, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER X, LATIN SMALL LETTER V, DOLLAR SIGN
cy~	48	U+0063, U+0079, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER Y, TILDE
Cy~	62	U+0043, U+0079, U+007E	LATIN CAPITAL LETTER C, LATIN SMALL LETTER Y, TILDE
cy7$	2	U+0063, U+0079, U+0037, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER Y, DIGIT SEVEN, DOLLAR SIGN
cyh$	17	U+0063, U+0079, U+0068, U+0024	LATIN SMALL LETTER C, LATIN SMALL LETTER Y, LATIN SMALL LETTER H, DOLLAR SIGN
cz~	32	U+0063, U+007A, U+007E	LATIN SMALL LETTER C, LATIN SMALL LETTER Z, TILDE
CZ~	5	U+0043, U+005A, U+007E	LATIN CAPITAL LETTER C, LATIN CAPITAL LETTER Z, TILDE
d	21360	U+0064	LATIN SMALL LETTER D
d"	224	U+0064, U+0022	LATIN SMALL LETTER D, QUOTATION MARK
d7~	6	U+0064, U+0037, U+007E	LATIN SMALL LETTER D, DIGIT SEVEN, TILDE
d8~	2	U+0064, U+0038, U+007E	LATIN SMALL LETTER D, DIGIT EIGHT, TILDE
ddy$	2	U+0064, U+0064, U+0079, U+0024	LATIN SMALL LETTER D, LATIN SMALL LETTER D, LATIN SMALL LETTER Y, DOLLAR SIGN
dh~	199	U+0064, U+0068, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER H, TILDE
dj~	5	U+0064, U+006A, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER J, TILDE
djy$	1	U+0064, U+006A, U+0079, U+0024	LATIN SMALL LETTER D, LATIN SMALL LETTER J, LATIN SMALL LETTER Y, DOLLAR SIGN
dl~	6	U+0064, U+006C, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER L, TILDE
dL~	32	U+0064, U+004C, U+007E	LATIN SMALL LETTER D, LATIN CAPITAL LETTER L, TILDE
dlh$	2	U+0064, U+006C, U+0068, U+0024	LATIN SMALL LETTER D, LATIN SMALL LETTER L, LATIN SMALL LETTER H, DOLLAR SIGN
dn~	15	U+0064, U+006E, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER N, TILDE
dr~	40	U+0064, U+0072, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER R, TILDE
drw$	2	U+0064, U+0072, U+0077, U+0024	LATIN SMALL LETTER D, LATIN SMALL LETTER R, LATIN SMALL LETTER W, DOLLAR SIGN
dt~	1	U+0064, U+0074, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER T, TILDE
dT~	4	U+0064, U+0054, U+007E	LATIN SMALL LETTER D, LATIN CAPITAL LETTER T, TILDE
dth$	1	U+0064, U+0074, U+0068, U+0024	LATIN SMALL LETTER D, LATIN SMALL LETTER T, LATIN SMALL LETTER H, DOLLAR SIGN
dv~	3	U+0064, U+0076, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER V, TILDE
dw~	83	U+0064, U+0077, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER W, TILDE
dx~	2	U+0064, U+0078, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER X, TILDE
dX~	10	U+0064, U+0058, U+007E	LATIN SMALL LETTER D, LATIN CAPITAL LETTER X, TILDE
dy~	489	U+0064, U+0079, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER Y, TILDE
dyh$	1	U+0064, U+0079, U+0068, U+0024	LATIN SMALL LETTER D, LATIN SMALL LETTER Y, LATIN SMALL LETTER H, DOLLAR SIGN
dz~	9	U+0064, U+007A, U+007E	LATIN SMALL LETTER D, LATIN SMALL LETTER Z, TILDE
dZ~	8	U+0064, U+005A, U+007E	LATIN SMALL LETTER D, LATIN CAPITAL LETTER Z, TILDE
e	55860	U+0065	LATIN SMALL LETTER E
E	14614	U+0045	LATIN CAPITAL LETTER E
e*	984	U+0065, U+002A	LATIN SMALL LETTER E, ASTERISK
E*	466	U+0045, U+002A	LATIN CAPITAL LETTER E, ASTERISK
e7~	1	U+0065, U+0037, U+007E	LATIN SMALL LETTER E, DIGIT SEVEN, TILDE
eq"X$	1	U+0065, U+0071, U+0022, U+0058, U+0024	LATIN SMALL LETTER E, LATIN SMALL LETTER Q, QUOTATION MARK, LATIN CAPITAL LETTER X, DOLLAR SIGN
eS~	1	U+0065, U+0053, U+007E	LATIN SMALL LETTER E, LATIN CAPITAL LETTER S, TILDE
ew~	2	U+0065, U+0077, U+007E	LATIN SMALL LETTER E, LATIN SMALL LETTER W, TILDE
Ey~	1	U+0045, U+0079, U+007E	LATIN CAPITAL LETTER E, LATIN SMALL LETTER Y, TILDE
f	6354	U+0066	LATIN SMALL LETTER F
f"	2	U+0066, U+0022	LATIN SMALL LETTER F, QUOTATION MARK
fh~	8	U+0066, U+0068, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER H, TILDE
fk~	1	U+0066, U+006B, U+007E	LATIN SMALL LETTER F, LATIN SMALL LETTER K, TILDE
