1239	14	4	7.42
103	223	8	7.27
101	1576	3	6.74
970	14	5	9
898	116	12	99.68
121	152	7	13.01
161	337	5	32.67
274	142	6	31.12
117	173	11	33.08
248	117	3	6.08
158	386	3	16.78
104	1407	5	21.88
697	102	3	4.42
220	117	5	12.42
101	2689	5	25.15
747	203	5	47.64
149	152	4	9.46
202	139	7	29.46
257	119	4	11.98
2272	14	3	8.16
121	1413	3	19.37
156	105	13	5.69
329	156	5	30.1
752	108	6	28.42
205	121	5	13.48
160	259	3	13.84
106	684	6	21.31
143	267	5	23.76
211	149	3	10.37
1415	7	10	91.78
126	101	122	191.88
648	109	3	9.08
102	187	19	27.33
589	224	4	35.17
103	2313	3	13
1306	12	3	7.79
259	12	8	8.29
331	118	7	32.35
117	726	4	20.28
622	105	7	22.48
2456	14	5	23.47
104	1656	6	32.15
503	156	7	54.7
728	105	3	5.59
1452	14	4	9.4
122	158	4	5.06
103	793	4	9.84
1302	102	5	19.02
114	679	5	23.28
1334	102	4	13.89
201	124	3	5.54
107	328	3	4.14
191	122	3	4.55
101	2534	3	10.25
107	118	24	15.24
138	148	10	31.47
106	887	3	8.09
840	14	4	4.53
101	671	12	38.59
101	595	8	16.62
681	140	4	25.66
129	122	7	6.26
101	2595	5	25.15
146	288	3	12.22
101	4616	3	18.27
101	4512	3	18.27
117	945	3	15.21
197	328	3	18.64
1548	319	3	35.13
102	369	5	5.76
1392	14	3	4.8
103	690	7	23.43
2654	14	3	9.29
