originals	tokenized
ma8i	m a 8 i
nS~i	nS~ i
mEya	m E y a
maci	m a c i
mazi	m a z i
mesi	m e s i
aci	a c i
mui	m u i
ade	a d e
ima	i m a
ema	e m a
aji	a j i
ati	a t i
aTi	a T i
ma	m a
na7	n a 7
na	n a
na	n a
na	n a
Z3	Z 3
se	s e
aci	a c i
aci	a c i
maci	m a c i
co	c o
may	m a y
Ema	E m a
azi	a z i
masi	m a s i
muNg~o	m u Ng~ o
sok	s o k
diba	d i b a
yam	y a m
mba	m b a
amba	a m b a
maci	m a c i
mai	m a i
aca	a c a
adE	a d E
aca	a c a
aca	a c a
dip	d i p
mai	m a i
l3b	l 3 b
nd~ia	nd~ i a
di	d i
yEb	y E b
l3b	l 3 b
yep	y e p
mai	m a i
ai	a i
ai	a i
dob	d o b
aze	a z e
ayi	a y i
ayi*	a y i*
ade	a d e
mai	m a i
muru	m u r u
e	e
nd~im	nd~ i m
dim	d i m
ndim	n d i m
ndib	n d i b
dim	d i m
nd~im	nd~ i m
inzi	i n z i
inzi	i n z i
nc~im	nc~ i m
cim	c i m
mcim	m c i m
nzim	n z i m
nc~iam	nc~ i a m
Ti	T i
Si	S i
iji	i j i
golovi	g o l o v i
anya	a n y a
aca	a c a
aji	a j i
gasi	g a s i
luku	l u k u
Sy~3	Sy~ 3
sy~3	sy~ 3
mae	m a e
ae	a e
maci	m a c i
aci	a c i
aci	a c i
aci	a c i
amb~a	a mb~ a
lenga	l e n g a
Ce	C e
riNg~a	r i Ng~ a
izi	i z i
izi	i z i
yizi	y i z i
asi	a s i
aza	a z a
ema	e m a
as	a s
as	a s
asa	a s a
as	a s
aji	a j i
amba	a m b a
5Ep	5 E p
izi	i z i
izi	i z i
azi	a z i
uzi	u z i
leNg~a	l e Ng~ a
ema	e m a
ema	e m a
mEva	m E v a
mEya	m E y a
eva	e v a
izi	i z i
nz~i	nz~ i
aji	a j i
ya	y a
iCi	i C i
Thi	T h i
mas	m a s
pei	p e i
mai	m a i
mba	m b a
menZ~i	m e nZ~ i
mazi	m a z i
mol	m o l
mb~3	mb~ 3
eko*	e k o*
aci	a c i
mai	m a i
dya	d y a
dya mwel	d y a   m w e l
dya	d y a
amba	a m b a
izi	i z i
zzi	z z i
enzi	e n z i
inzi	i n z i
jiTi	j i T i
meTi	m e T i
luTi	l u T i
ci	c i
ci	c i
gece	g e c e
inji	i n j i
iSi	i S i
iSi	i S i
zi	z i
nji	n j i
5j~i	5j~ i
ya	y a
ya	y a
mema	m e m a
mema	m e m a
mema	m e m a
meji	m e j i
iji	i j i
eji	e j i
roku	r o k u
moroku	m o r o k u
moroku	m o r o k u
vula	v u l a
vula	v u l a
momb~	m o mb~
w7~o	w7~ o
wu	w u
mb~ig3m	mb~ i g 3 m
azi	a z i
lenga	l e n g a
anza	a n z a
ai	a i
anz~	a nz~
ema	e m a
ema	e m a
yip	y i p
Ema	E m a
pei	p e i
goN	g o N
mE	m E
na7	n a 7
mo	m o
niN3	n i N 3
ji	j i
enz~e	e nz~ e
im	i m
eya	e y a
Enz~i	E nz~ i
ama	a m a
masi	m a s i
ai	a i
inz~i	i nz~ i
azi	a z i
azi	a z i
ama	a m a
end~a	e nd~ a
enz~i	e nz~ i
dibo	d i b o
b"o	b" o
iu	i u
muo	m u o
mu	m u
asi	a s i
aza	a z a
za	z a
aza	a z a
5um	5 u m
5umu	5 u m u
za	z a
medibe	m e d i b e
dibe	d i b e
vura	v u r a
di	d i
so	s o
nso	n s o
so	s o
ati	a t i
mai	m a i
a	a
aSi	a S i
mul	m u l
mur	m u r
aci	a c i
liba	l i b a
mba	m b a
mo	m o
asi*	a s i*
aS	a S
aci	a c i
eyi	e y i
ema	e m a
ma	m a
eyi	e y i
eyi	e y i
eyi	e y i
eyi	e y i
ema	e m a
Eva	E v a
eva	e v a
nji	n j i
di	d i
di	d i
iya	i y a
du*o*	d u* o*
iya	i y a
eya	e y a
im	i m
ayi	a y i
aSi	a S i
aSi	a S i
aSi	a S i
ayi	a y i
anz	a n z
az	a z
ema	e m a
ima	i m a
eya	e y a
ma	m a
amba	a m b a
amba	a m b a
amb~a	a mb~ a
mba	m b a
mba	m b a
mur	m u r
ayi	a y i
nSi	n S i
enda	e n d a
izi	i z i
inzi	i n z i
nc~3v	nc~ 3 v
ayi	a y i
m3*	m 3*
ni	n i
acyi	a c y i
azi	a z i
anzi	a n z i
ze	z e
nz~e	nz~ e
ai	a i
liwa	l i w a
liba	l i b a
nSi	n S i
xece	x e c e
si	s i
imb~	i mb~
ai	a i
Ei	E i
ai	a i
a	a
b"o	b" o
dy~ip	dy~ i p
mai	m a i
ai	a i
diba	d i b a
diba	d i b a
mai	m a i
eyu	e y u
Ei	E i
a	a
azi	a z i
liya	l i y a
lia	l i a
alia	a l i a
ba	b a
alia	a l i a
liya	l i y a
asi	a s i
ahi	a h i
asi	a s i
aci	a c i
zi	z i
igi	i g i
iNg~i	i Ng~ i
azi	a z i
aci	a c i
lenga	l e n g a
amb3	a m b 3
amb3	a m b 3
aji	a j i
enj~i	e nj~ i
enzhi	e n z h i
eji	e j i
eya	e y a
yi	y i
yi	y i
eyi	e y i
cE	c E
3cE	3 c E
EcE	E c E
inSi	i n S i
nSi	n S i
nSi	n S i
anzi	a n z i
enda	e n d a
enda	e n d a
ai	a i
uda	u d a
so	s o
so	s o
eyu	e y u
edi	e d i
asi	a s i
azi	a z i
ahi	a h i
asi	a s i
nomo	n o m o
neme	n e m e
manzi	m a n z i
5ifi	5 i f i
dib	d i b
ky~i3	ky~ i 3
aji	a j i
eci	e c i
iSi	i S i
gw~o	gw~ o
eyu	e y u
pei	p e i
mai	m a i
pei	p e i
enji	e n j i
iya	i y a
em	e m
ema	e m a
ima	i m a
eya	e y a
ima	i m a
nza	n z a
nja	n j a
ja	j a
ova	o v a
nga	n g a
ai	a i
anj~a	a nj~ a
andj$a	a ndj$ a
aye	a y e
lEb	l E b
beZi	b e Z i
pei	p e i
a	a
a	a
a	a
a	a
ai	a i
eyu	e y u
aTe	a T e
buru	b u r u
eyu	e y u
mur	m u r
imph$	i mph$
pei	p e i
ayi	a y i
ema	e m a
mema	m e m a
ac	a c
mfi3N	m f i 3 N
c3	c 3
nd~im	nd~ i m
dya	d y a
dya	d y a
di7	d i 7
du7	d u 7
ny~E	ny~ E
ai	a i
tika	t i k a
mo	m o
muo	m u o
ai	a i
asi	a s i
asi	a s i
asi	a s i
ai	a i
peya	p e y a
anza	a n z a
nz~i	nz~ i
nz~i	nz~ i
niNgo	n i N g o
aThi	a T h i
nia	n i a
da	d a
da	d a
da	d a
di*bo*	d i* b o*
diwo*	d i w o*
eyu	e y u
eyu	e y u
gi	g i
leb	l e b
nc~i	nc~ i
u	u
aji	a j i
aji	a j i
eyu	e y u
maSi	m a S i
aSi	a S i
ai	a i
ay	a y
niNg~o	n i Ng~ o
go	g o
gece	g e c e
gheci	g h e c i
gece	g e c e
o	o
nS~3	nS~ 3
angu	a n g u
angu	a n g u
dibi	d i b i
Ci	C i
d3p	d 3 p
gx~ip	gx~ i p
nob	n o b
mb~a	mb~ a
eya	e y a
Eya	E y a
nj~a	nj~ a
duE	d u E
anj~a	a nj~ a
anj~a	a nj~ a
nja	n j a
beTi	b e T i
Ema	E m a
ba	b a
ba	b a
luba	l u b a
azi	a z i
azi	a z i
Ci	C i
ki	k i
diba	d i b a
liba	l i b a
ayi	a y i
Na*	N a*
aiko*	a i k o*
aca	a c a
aja	a j a
nz~i	nz~ i
anzi	a n z i
asi	a s i
anj~i	a nj~ i
azi	a z i
nSi	n S i
aca	a c a
vay	v a y
mazi	m a z i
nim	n i m
moNg~omo	m o Ng~ o m o
misi	m i s i
eba	e b a
l3b	l 3 b
nj~a	nj~ a
nj~a	nj~ a
di7	d i 7
izi	i z i
ema	e m a
ema	e m a
l3b	l 3 b
d3b	d 3 b
d3b	d 3 b
lob	l o b
dEb	d E b
To	T o
dio	d i o
nt~i	nt~ i
ece	e c e
co	c o
beTi	b e T i
pei	p e i
pei	p e i
pei	p e i
l3b	l 3 b
eTi	e T i
pei	p e i
anz~i	a nz~ i
nca	n c a
pei	p e i
EdT~i	E dT~ i
nob	n o b
pei	p e i
eTi	e T i
ai	a i
asi	a s i
asi	a s i
ai	a i
ai	a i
ja	j a
mimb~	m i mb~
imp~o	i mp~ o
isi	i s i
misi	m i s i
misi	m i s i
Ci	C i
liyo	l i y o
liyo	l i y o
inzi	i n z i
eca	e c a
aji	a j i
aci	a c i
aci	a c i
eyu	e y u
inz~i	i nz~ i
5i	5 i
mi	m i
mi	m i
mba	m b a
mba	m b a
aZi	a Z i
ja	j a
yip	y i p
ja	j a
aNg~u	a Ng~ u
nca	n c a
luku	l u k u
riba	r i b a
ja	j a
ja	j a
ja	j a
ba	b a
E*	E*
kasi	k a s i
leNg~a	l e Ng~ a
phomb~e	p h o mb~ e
azi	a z i
azi	a z i
adhi	a d h i
aji	a j i
ya	y a
ti	t i
Ci3	C i 3
engo	e n g o
nT~im	nT~ i m
nwo	n w o
amb~a	a mb~ a
mba	m b a
TiTi	T i T i
jj	j j
asi	a s i
liba	l i b a
mba	m b a
mba	m b a
azi	a z i
maci	m a c i
aci	a c i
nji	n j i
ti	t i
izi	i z i
izi	i z i
izi	i z i
izi	i z i
dya	d y a
m	m
ji	j i
ci	c i
ci	c i
zi	z i
anzi	a n z i
vula	v u l a
nti	n t i
anzi	a n z i
aji	a j i
dji	d j i
be juwe	b e   j u w e
pei	p e i
ji	j i
pi	p i
aNgu	a N g u
aNku	a N k u
angu	a n g u
ok	o k
wok	w o k
Thi	T h i
mba	m b a
eji3	e j i 3
aji	a j i
duku	d u k u
ci	c i
aji	a j i
aji	a j i
anzi	a n z i
osi	o s i
azi	a z i
aji	a j i
aTi	a T i
ma*b3	m a* b 3
ami	a m i
iSi	i S i
vura	v u r a
vura	v u r a
vura	v u r a
vura	v u r a
vura	v u r a
kE	k E
aca	a c a
izi	i z i
eyu	e y u
eyu	e y u
eyu	e y u
adhi	a d h i
mb~um	mb~ u m
ema	e m a
eya	e y a
ema	e m a
eya	e y a
anTh~i	a n Th~ i
anji	a n j i
ma	m a
ece	e c e
ici	i c i
Eci	E c i
nz~i	nz~ i
amba	a m b a
iSi	i S i
inzi	i n z i
maTi	m a T i
mady~i	m a dy~ i
maTi	m a T i
mady~i	m a dy~ i
mai	m a i
mady~i	m a dy~ i
ji	j i
mai	m a i
maTi	m a T i
maji	m a j i
ji	j i
nt~i	nt~ i
nt~i	nt~ i
nda	n d a
nda	n d a
nSi	n S i
maCi	m a C i
se	s e
bombe	b o m b e
anza	a n z a
ja	j a
nca	n c a
ma5a	m a 5 a
ca	c a
anya	a n y a
aca	a c a
ca	c a
aja	a j a
Si	S i
Si	S i
3y3	3 y 3
nz~i	nz~ i
5i	5 i
pela	p e l a
lil	l i l
pela	p e l a
m3na7	m 3 n a 7
ayi	a y i
gere	g e r e
gere	g e r e
ai	a i
mba	m b a
aca	a c a
ti	t i
ba	b a
ti	t i
e*ci	e* c i
tEya	t E y a
tia	t i a
aji	a j i
aji	a j i
aji	a j i
nif	n i f
ml~a7	ml~ a 7
vava	v a v a
vava	v a v a
aji	a j i
aji	a j i
amb3	a m b 3
atti	a t t i
di	d i
asi	a s i
zi	z i
aji	a j i
aji	a j i
ambe	a m b e
nv~um	nv~ u m
bu* nv~um	b u*   nv~ u m
mv~um	mv~ u m
nb3m	n b 3 m
as	a s
aSi	a S i
angu	a n g u
angu	a n g u
co7	c o 7
amb~a	a mb~ a
amb~a	a mb~ a
iNg~o	i Ng~ o
iNg~o	i Ng~ o
Eba	E b a
nz~i	nz~ i
nz~i	nz~ i
ja	j a
amb~a	a mb~ a
amb~a	a mb~ a
mai	m a i
amb~a	a mb~ a
amp~3	a mp~ 3
amb~a	a mb~ a
nz~op	nz~ o p
ni	n i
nza	n z a
aca	a c a
aza	a z a
ada	a d a
za	z a
da	d a
Ezi	E z i
esi	e s i
cw~e	cw~ e
ce	c e
mb~e	mb~ e
mur	m u r
azi	a z i
lenga	l e n g a
ai	a i
ai	a i
ai	a i
ai	a i
izi	i z i
azi	a z i
nz~i	nz~ i
aCi	a C i
izi	i z i
aza	a z a
aza	a z a
aza	a z a
aza	a z a
nz~i	nz~ i
anzi	a n z i
nz~i	nz~ i
55o	5 5 o
Emum	E m u m
muoN	m u o N
mu*	m u*
umo	u m o
omo	o m o
moN	m o N
moN	m o N
nmoN	n m o N
moN	m o N
mu*	m u*
mmu*	m m u*
moN	m o N
mw~oN	mw~ o N
mu*	m u*
nmaoN	n m a o N
moN	m o N
muN	m u N
muN	m u N
moN	m o N
moN	m o N
muN	m u N
ma	m a
ba5i	b a 5 i
asi	a s i
muN	m u N
amu	a m u
muoN	m u o N
moN	m o N
moN	m o N
ma	m a
moN	m o N
moN	m o N
moN	m o N
eji*	e j i*
oyin	o y i n
omi	o m i
oho	o h o
omi*	o m i*
omi	o m i
mi	m i
inj~i	i nj~ i
go	g o
di	d i
NgE	N g E
nNe	n N e
di	d i
ni	n i
di	d i
ji	j i
ni	n i
ni	n i
ni	n i
mi	m i
mi	m i
Ngy$E	Ngy$ E
ni	n i
Ngy$u	Ngy$ u
yi	y i
yi	y i
pi	p i
yi	y i
yi	y i
yi	y i
yi	y i
yi	y i
yi	y i
yi	y i
yi	y i
yi	y i
mE	m E
mE	m E
mE	m E
amin	a m i n
amin	a m i n
ama	a m a
mE	m E
mini	m i n i
mE	m E
ame	a m e
amini	a m i n i
amini	a m i n i
mi	m i
mE	m E
mE	m E
mi	m i
ama	a m a
mi	m i
amiN	a m i N
mE	m E
mE	m E
mE	m E
ame	a m e
mE	m E
mi	m i
muno	m u n o
nim	n i m
5im	5 i m
535im	5 3 5 i m
nim	n i m
ko*n	k o* n
5iam	5 i a m
5u	5 u
kuo	k u o
kom	k o m
mania*	m a n i a*
ko7om	k o 7 o m
5i	5 i
kw~om	kw~ o m
lim	l i m
kwo*	k w o*
na	n a
nnyun	n n y u n
n5un	n 5 u n
5aN	5 a N
gote	g o t e
hem	h e m
yo	y o
kuo7om	k u o 7 o m
lem	l e m
yot3	y o t 3
oko	o k o
loho	l o h o
kuom	k u o m
kom	k o m
mnimE	m n i m E
5um	5 u m
kom	k o m
5umu	5 u m u
nEma	n E m a
du	d u
Nalm	N a l m
ny~um	ny~ u m
ko7om	k o 7 o m
ni7	n i 7
mini	m i n i
ni	n i
ne	n e
5a	5 a
nia	n i a
lwoho	l w o h o
5umu	5 u m u
liN	l i N
niye	n i y e
ni	n i
ny~imma	ny~ i m m a
nimi	n i m i
nya	n y a
nyam	n y a m
Naw	N a w
Naw	N a w
Na	N a
yaw	y a w
Naw	N a w
Nawa	N a w a
aw	a w
Naw	N a w
Nar	N a r
Nava	N a v a
Naw	N a w
To	T o
eNkpo	e N k p o
enyi	e n y i
ye5i	y e 5 i
mirn~i	m i rn~ i
mini	m i n i
mm~ili	mm~ i l i
mini	m i n i
minimini	m i n i m i n i
mili	m i l i
me*ind~i	m e* i nd~ i
me*nd~i	m e* nd~ i
beni	b e n i
bini*	b i n i*
bini*	b i n i*
bini*	b i n i*
mini*	m i n i*
beni*	b e n i*
bini*	b i n i*
mb~ia	mb~ i a
bini*	b i n i*
bini*	b i n i*
beni*	b e n i*
bini*	b i n i*
beni*	b e n i*
beni	b e n i
miNi	m i N i
beni	b e n i
beni*	b e n i*
beni	b e n i
beni	b e n i
minTi	m i n T i
beni*	b e n i*
beni	b e n i
beni	b e n i
mi*nd~i	m i* nd~ i
mi*nd~i	m i* nd~ i
beni	b e n i
beni	b e n i
beni	b e n i
meNi	m e N i
beni	b e n i
beni*	b e n i*
beni	b e n i
bini*	b i n i*
be*di	b e* d i
beni	b e n i
zap3re	z a p 3 r e
zanfir	z a n f i r
Zap3	Z a p 3
ni	n i
m3* ni	m 3*   n i
mo3*ni	m o 3* n i
m3n	m 3 n
mini	m i n i
3mho	3 m h o
bo	b o
mene	m e n e
55i	5 5 i
mmini	m m i n i
m35i	m 3 5 i
mi5i	m i 5 i
m35i	m 3 5 i
m3n3	m 3 n 3
m3ni	m 3 n i
moni	m o n i
m3ni	m 3 n i
gi	g i
ho	h o
uNm3ni	u N m 3 n i
ma5i	m a 5 i
ma5i	m a 5 i
mi	m i
mi	m i
m3ni	m 3 n i
m3m3	m 3 m 3
momo	m o m o
m3 ni	m 3   n i
3mb~3	3 mb~ 3
ni	n i
ni	n i
m35i	m 3 5 i
m3 n	m 3   n
m3*n	m 3* n
m3ni	m 3 n i
ma5i	m a 5 i
moni	m o n i
ma5i	m a 5 i
idi	i d i
idi	i d i
ni	n i
5u	5 u
5u	5 u
ni	n i
5ya	5 y a
ni	n i
miji	m i j i
tu	t u
mij	m i j
nz~ulo	nz~ u l o
bosi	b o s i
du	d u
5i7	5 i 7
nsue	n s u e
nzuwe	n z u w e
sE*	s E*
Eson	E s o n
nzwe	n z w e
nt~u	nt~ u
5u*	5 u*
ns~u	ns~ u
onuto	o n u t o
adu	a d u
esi	e s i
sin	s i n
nu*	n u*
nT~u	nT~ u
esi	e s i
nTu	n T u
5Tu	5 T u
nC~u	nC~ u
inT~u	i nT~ u
nd~u	nd~ u
nTu	n T u
nky$u	nky$ u
ntu	n t u
5C~u	5C~ u
nTu	n T u
Cu	C u
nz~ule	nz~ u l e
tu	t u
ntu	n t u
kuni	k u n i
Ndu	N d u
ni	n i
Li*	L i*
mui	m u i
nsuo	n s u o
nsu	n s u
tumu	t u m u
mund	m u n d
wada	w a d a
wEdE	w E d E
ma	m a
mb~iya	mb~ i y a
mumal	m u m a l
nd~iyam	nd~ i y a m
nd~iyam	nd~ i y a m
di7ele	d i 7 e l e
nd~iyam	nd~ i y a m
ndiyam	n d i y a m
5iyam	5 i y a m
mal	m a l
m3zu	m 3 z u
melik	m e l i k
melik	m e l i k
mel	m e l
Nol	N o l
mulu	m u l u
mu	m u
muzu	m u z u
mabe	m a b e
mulub	m u l u b
nrSup	n r S u p
nd~iyan	nd~ i y a n
mazu	m a z u
fo fi lE	f o   f i   l E
nk~a	nk~ a
nd~ox	nd~ o x
nd~ox	nd~ o x
zo	z o
nuwa	n u w a
enyi	e n y i
nuwa*	n u w a*
ebi	e b i
imb~i	i mb~ i
misid	m i s i d
mayir	m a y i r
bami	b a m i
nsh$i	nsh$ i
neSi	n e S i
mma	m m a
mal	m a l
m3	m 3
ami	a m i
emb~ita	e mb~ i t a
inT~in	i nT~ i n
wini	w i n i
niSi	n i S i
m3s3r	m 3 s 3 r
amE	a m E
any~i	a ny~ i
bamal	b a m a l
titan	t i t a n
amE	a m E
nnen	n n e n
amE	a m E
iSi	i S i
zapir	z a p i r
Nkw$ale	Nkw$ a l e
nkw$alE	nkw$ a l E
zape	z a p e
m3s3r	m 3 s 3 r
nu	n u
nimb~al	n i mb~ a l
llam	l l a m
mb~i	mb~ i
min	m i n
m3s3r	m 3 s 3 r
m3S3n	m 3 S 3 n
m3s3n	m 3 s 3 n
m3s3r	m 3 s 3 r
makuri	m a k u r i
maSir	m a S i r
am3sh~ir	a m 3 sh~ i r
masid	m a s i d
m3s3n	m 3 s 3 n
mis3n	m i s 3 n
amE	a m E
min	m i n
m3s3r	m 3 s 3 r
mas3n	m a s 3 n
imal	i m a l
ari	a r i
mank~uri	m a nk~ u r i
Tinen	T i n e n
ninT~i	n i nT~ i
ryaN	r y a N
diN	d i N
3mu	3 m u
amunu	a m u n u
sakw~at	s a kw~ a t
woSi	w o S i
Nai	N a i
namun	n a m u n
mun	m u n
mun	m u n
mand~i	m a nd~ i
mamal	m a m a l
mamae	m a m a e
mENnd~aN	m E N nd~ a N
mend~aN	m e nd~ a N
men	m e n
damun	d a m u n
mants	m a n t s
man	m a n
man	m a n
maNt	m a N t
Nar	N a r
Nar3k	N a r 3 k
Nir	N i r
5i	5 i
Nala	N a l a
ir	i r
Ni	N i
5i	5 i
li	l i
Ngo	N g o
No	N o
NuNu	N u N u
li	l i
eNgu	e N g u
ribo	r i b o
Ngo	N g o
li	l i
li	l i
ri	r i
Ng~omo	Ng~ o m o
Ngu	N g u
mimi	m i m i
ng~o	ng~ o
li	l i
ri	r i
ung~u	u ng~ u
di	d i
Ngua	N g u a
yi	y i
Nu	N u
ng~ung~u	ng~ u ng~ u
3ng~u	3 ng~ u
aNg~umo	a Ng~ u m o
NkevE	N k e v E
Li	L i
eNu	e N u
gb~u	gb~ u
Nu	N u
No	N o
uNg~u	u Ng~ u
ng~o	ng~ o
ngo	n g o
Ng~omE	Ng~ o m E
li	l i
ng~o	ng~ o
ng~o	ng~ o
ng~o	ng~ o
No	N o
li	l i
ng~o	ng~ o
Nu	N u
ng~u	ng~ u
ng~o	ng~ o
nd~igi	nd~ i g i
Libo	L i b o
li	l i
ng~u	ng~ u
Ngo	N g o
Ngu	N g u
ng~u	ng~ u
ime	i m e
umo*	u m o*
umo*	u m o*
umo	u m o
umo*	u m o*
umo*	u m o*
umo*	u m o*
umo	u m o
ji	j i
nja	n j a
Zo	Z o
ji	j i
ji	j i
Te	T e
ju	j u
ji	j i
ji	j i
Zo	Z o
ji	j i
ji	j i
ji	j i
yi	y i
je	j e
ji	j i
je	j e
ji	j i
yi	y i
ji	j i
je	j e
je	j e
ya	y a
ya	y a
yi	y i
yi	y i
yi	y i
zie	z i e
ji	j i
ji	j i
ji	j i
zie	z i e
yi	y i
gyi	g y i
nT~a	nT~ a
je	j e
ji	j i
ji	j i
je	j e
jo	j o
ye	y e
ji	j i
Ti	T i
zio	z i o
zu	z u
ye	y e
ji	j i
ji	j i
ji	j i
ji	j i
ji	j i
je	j e
ji	j i
je	j e
vy~E	vy~ E
Sia	S i a
su	s u
su	s u
biTi	b i T i
bi8i	b i 8 i
bi8i	b i 8 i
bi8i	b i 8 i
beTi	b e T i
bi8i	b i 8 i
bi8i	b i 8 i
biti	b i t i
bi8i	b i 8 i
bi8i	b i 8 i
bidi7	b i d i 7
firi	f i r i
man	m a n
mane	m a n e
eni	e n i
ini	i n i
jal	j a l
wu	w u
min	m i n
mini	m i n i
mon	m o n
kody~a	k o dy~ a
manE	m a n E
jay	j a y
mane	m a n e
mane	m a n e
ma*n	m a* n
mana	m a n a
mane	m a n e
mana	m a n a
jal	j a l
mini	m i n i
yalo	y a l o
mane	m a n e
jalu	j a l u
jal	j a l
jal	j a l
kuTan	k u T a n
mim	m i m
mimi	m i m i
ma	m a
3Ng~e	3 Ng~ e
maye	m a y e
ma	m a
ma	m a
uNg~e	u Ng~ e
fEk	f E k
bi	b i
mi	m i
koro	k o r o
aya	a y a
aya	a y a
aia	a i a
i7i	i 7 i
ei	e i
iyya	i y y a
yi	y i
ji	j i
iya7	i y a 7
iy37	i y 3 7
yide7	y i d e 7
yiTe7	y i T e 7
7ba7ba	7 b a 7 b a
uyu	u y u
Cue	C u e
Co	C o
TuE	T u E
T3E	T 3 E
kwe	k w e
kwi	k w i
kywEh	k y w E h
kwE	k w E
kwi	k w i
bi	b i
biya	b i y a
da	d a
da	d a
da	d a
da	d a
da	d a
da	d a
3da	3 d a
ta	t a
a5j~i	a 5j~ i
aji	a j i
sa	s a
ta	t a
egue	e g u e
eguo	e g u o
egue	e g u e
egu	e g u
eguo	e g u o
nego	n e g o
uu	u u
u	u
urE	u r E
ui	u i
icw~i	i cw~ i
ici	i c i
igy~i	i gy~ i
gi	g i
iyi	i y i
gi	g i
iyi	i y i
eyi	e y i
iyi	i y i
iyi	i y i
eyi	e y i
iyi	i y i
gy~i	gy~ i
lumvu	l u m v u
ma5a	m a 5 a
lomvo	l o m v o
iyi	i y i
iji	i j i
mb~a	mb~ a
pi	p i
pi	p i
pi	p i
pi	p i
ph~i	ph~ i
pioN	p i o N
pi	p i
Nk~ara	Nk~ a r a
bega	b e g a
bega	b e g a
bega	b e g a
bega	b e g a
bega	b e g a
piau4om	p i a u 4 o m
piu	p i u
xari	x a r i
per	p e r
pi	p i
bapi	b a p i
pek	p e k
pio	p i o
pek	p e k
Nakipi7	N a k i p i 7
pioN	p i o N
pi	p i
axara	a x a r a
pi	p i
aNk~ara	a Nk~ a r a
ph~i3gu	ph~ i 3 g u
Tipi	T i p i
kitawet	k i t a w e t
pei	p e i
pioN	p i o N
bey	b e y
ph~i	ph~ i
Nakipi	N a k i p i
pi	p i
pioN	p i o N
paika	p a i k a
nahara	n a h a r a
pi	p i
p3x	p 3 x
pi	p i
kipi	k i p i
aNk~ara	a Nk~ a r a
kara	k a r a
pEr	p E r
kipi	k i p i
piu	p i u
piEu	p i E u
pego	p e g o
Nk~ara	Nk~ a r a
pi	p i
ph~i	ph~ i
pEk	p E k
akipi	a k i p i
Nakipi	N a k i p i
eTi	e T i
o8o	o 8 o
oto	o t o
esi	e s i
3Ti	3 T i
aman	a m a n
Es	E s
esi	e s i
3sti	3 s t i
oti	o t i
boN	b o N
wo	w o
hari	h a r i
hari	h a r i
iri	i r i
3yri	3 y r i
hari	h a r i
hari	h a r i
aryen	a r y e n
hari	h a r i
hari	h a r i
ma	m a
mam	m a m
mua	m u a
ma	m a
ma	m a
maw	m a w
mam	m a m
ma	m a
ma	m a
mam	m a m
keriN	k e r i N
muN	m u N
yi	y i
iyi	i y i
i	i
inT~i	i nT~ i
nj~i	nj~ i
ing~i	i ng~ i
yi	y i
iyi	i y i
i	i
yam	y a m
yam	y a m
imin	i m i n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
am7an	a m 7 a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
aman	a m a n
am3nh~	a m 3 nh~
Cahawa	C a h a w a
Ca7awa	C a 7 a w a
hame	h a m e
kw~oti	kw~ o t i
haby~iy	h a by~ i y
mb~3iye	mb~ 3 i y e
koti	k o t i
yEmi	y E m i
ama	a m a
kamai	k a m a i
xula	x u l a
yimi	y i m i
yuwa	y u w a
yam	y a m
yim	y i m
yiwe	y i w e
ma7y~in	m a 7y~ i n
yam	y a m
yam	y a m
yamu	y a m u
ma7i	m a 7 i
yEmi	y E m i
yeme	y e m e
yema	y e m a
yiwa	y i w a
ny~EmE	ny~ E m E
5EmE	5 E m E
inkile	i n k i l e
iwa	i w a
ma7in	m a 7 i n
5y~a*	5y~ a*
imi	i m i
yimi	y i m i
bEtin	b E t i n
biti	b i t i
ama	a m a
ma7y~in	m a 7y~ i n
ami	a m i
yEmw~i	y E mw~ i
biti	b i t i
am	a m
yam	y a m
iyam	i y a m
yam	y a m
ame	a m e
am	a m
yimi	y i m i
imi	i m i
a7am	a 7 a m
yam	y a m
yam	y a m
ame	a m e
yem	y e m
jem	j e m
yem	y e m
yem	y e m
yumu	y u m u
yem	y e m
yem	y e m
iym	i y m
yimi	y i m i
yEmi	y E m i
mb~i7i	mb~ i 7 i
y3wa	y 3 w a
yam	y a m
yEmu	y E m u
yimi	y i m i
ma7ye	m a 7 y e
yiam s3t3	y i a m   s 3 t 3
jim	j i m
Tim	T i m
agyE7	a g y E 7
ahwam	a h w a m
imi	i m i
yewe	y e w e
yam	y a m
yimu	y i m u
wusa	w u s a
yam	y a m
axu	a x u
axu	a x u
Xak"w~	X a k"w~
ak"w~	a k"w~
awk"w~o	a w k"w~ o
axw~	a xw~
axo	a x o
aqw~	a qw~
aqw~	a qw~
aqw~	a qw~
am	a m
ma7a	m a 7 a
ma7ay	m a 7 a y
amay	a m a y
ami	a m i
amay	a m a y
kam	k a m
ame	a m e
kan	k a n
ammi	a m m i
a7u	a 7 u
ame	a m e
mb~o	mb~ o
nimi	n i m i
nam	n a m
