originals	tokenized
yu	y u
ana	a n a
ana	a n a
ani	a n i
ano	a n o
ano	a n o
ani	a n i
ane	a n e
anto	a n t o
antot	a n t o t
an	a n
ana	a n a
ano	a n o
ani	a n i
ane	a n e
ani	a n i
an	a n
ani	a n i
anti	a n t i
ana	a n a
ane	a n e
any	a n y
ani	a n i
koNg~o	k o Ng~ o
ani	a n i
an	a n
ani	a n i
ani	a n i
an	a n
3ni	3 n i
an	a n
ani	a n i
anu	a n u
3nu	3 n u
anu	a n u
ani	a n i
ane	a n e
aniga	a n i g a
ani	a n i
ano	a n o
anu	a n u
ana	a n a
ano	a n o
ani	a n i
na	n a
ang	a n g
anok	a n o k
th~i	th~ i
y	y
wy	w y
ynk	y n k
tana	t a n a
tana	t a n a
tena	t e n a
tana	t a n a
tiya	t i y a
tana	t a n a
ta	t a
ta	t a
ta	t a
ta	t a
tani	t a n i
tana	t a n a
inu	i n u
tani	t a n i
ta	t a
na	n a
tiya	t i y a
tana	t a n a
tan	t a n
nEta	n E t a
ta	t a
tana	t a n a
to7oni	t o 7 o n i
tana	t a n a
ta	t a
tana	t a n a
tana	t a n a
anaku	a n a k u
3ne	3 n e
3ne	3 n e
3ne	3 n e
ana	a n a
ana	a n a
ana	a n a
na	n a
no	n o
ani	a n i
ana	a n a
ana	a n a
ana	a n a
ana	a n a
ena	e n a
3yyo	3 y y o
anaku	a n a k u
ani	a n i
3iE	3 i E
ana	a n a
7ana	7 a n a
7ana	7 a n a
ana	a n a
ana	a n a
EnEt	E n E t
an3	a n 3
3nE	3 n E
ana	a n a
3ya	3 y a
En	E n
an	a n
hoh	h o h
ani	a n i
ana	a n a
ho	h o
iiE	i i E
7ani	7 a n i
ana	a n a
yiEnE	y i E n E
yin	y i n
hu	h u
hoh	h o h
hiiE	h i i E
hiya	h i y a
3yE	3 y E
ono	o n o
Ena	E n a
ana	a n a
Ena	E n a
En	E n
ana	a n a
ana	a n a
ana	a n a
En3	E n 3
he	h e
he	h e
he7	h e 7
3di	3 d i
ho	h o
hohon	h o h o n
ana	a n a
EnE	E n E
EnE	E n E
ena	e n a
ena	e n a
ana	a n a
ana	a n a
ane	a n e
an3	a n 3
anE	a n E
EnE	E n E
ono	o n o
3he	3 h e
EnE	E n E
7ana	7 a n a
eiE	e i E
ita	i t a
int~a	i nt~ a
ato	a t o
ana	a n a
i	i
a5i	a 5 i
ani	a n i
aniN	a n i N
ani	a n i
mmi	m m i
Nan	N a n
yeN	y e N
n3	n 3
n3n	n 3 n
in	i n
ina	i n a
yin	y i n
Nam	N a m
aNk~3	a Nk~ 3
Nam	N a m
yin	y i n
na	n a
eni	e n i
na	n a
na	n a
ani	a n i
yim	y i m
ani	a n i
ni	n i
ni	n i
na	n a
mi	m i
ni	n i
eni	e n i
na	n a
an	a n
yin	y i n
ni	n i
ne	n e
pan	p a n
yi	y i
iy3	i y 3
